id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1042331,Beautiful Apt in Berkeley/Highlands,5811115,Annette,,Berkeley,39.77983,-105.03936,Entire home/apt,145,30,39,2020-12-01,0.40,4,240
1069351,Historic Denver Bungalow- 30+ day rentals only,3577356,Bonnie,,Sunnyside,39.77389,-105.0106,Entire home/apt,100,30,5,2018-11-17,0.05,1,255
1074386,1BR/1BA Santa Fe Arts District Home,5910663,Tony,,Lincoln Park,39.72599,-104.99628,Entire home/apt,142,2,54,2021-03-20,0.58,3,258
1143676,Modern Sizzle-New-Across from City Park-! Superb!,4366942,Nan,,City Park,39.74751,-104.95953,Entire home/apt,120,30,41,2020-12-19,0.43,5,164
1153002,Comforts of Home in RiNO - 3bd/2ba,192640,Kim,,Cole,39.76871,-104.96811,Entire home/apt,136,30,54,2016-05-08,0.57,3,88
1220547,Sunny Southwest Exposure! Brooks Tower One-Bed 5A,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,56,30,1,2013-06-23,0.01,31,83
1223593,Sweet and sunny in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73704,-104.96965,Private room,68,29,154,2021-01-09,1.68,3,365
1223612,Suite of rooms in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73165,-104.97057,Private room,58,29,178,2021-03-07,1.88,3,330
1236000,Sunny studio! Brooks Tower 5B,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,58,30,11,2021-02-17,0.12,31,124
1240215,Fully furnished downtown apt! Brooks Tower 5G,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,53,30,6,2020-11-03,0.06,31,55
1243170,"Artsy Home - Queen Bed, Private Ba",192640,Kim,,Cole,39.76818,-104.97044,Private room,47,30,9,2016-03-10,0.12,3,1
1276727,Huge Garden Level Apartment in Wash Park Bungalow,1836706,Joseph,,Speer,39.71243,-104.98434,Entire home/apt,60,30,6,2017-04-07,0.09,1,31
1279362,City Living! Brooks Tower 5M,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,59,30,10,2021-01-31,0.11,31,40
1288109,Downtown Studio w/Great Location: Brooks Tower 4M,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,71,30,4,2018-01-14,0.04,31,75
1288126,Spacious Studio! Brooks Tower 6B,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,58,30,10,2021-03-22,0.11,31,92
1291655,Downtown Studio w/private balcony! Brooks Tower 4F,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,53,30,9,2021-03-20,0.10,31,45
1291679,Sunny Balcony! Downtown 2x2 Brooks Tower 5C,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,98,30,4,2016-09-29,0.04,31,102
1309159,Logan Square Studio,1001851,Joe,,Capitol Hill,39.73444,-104.98377,Entire home/apt,199,30,54,2020-12-23,0.57,1,207
1311993,Downtown Apt - Clean & Convenient! Brooks Tower 5I,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,58,30,9,2020-11-01,0.10,31,98
1315790,Downtown 2x2 w/sunny exposure! Brooks Tower 6L,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,98,30,10,2020-10-17,0.11,31,46
1315816,Downtown 2x2 w/rooftop pool! Brooks Tower 4L,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,68,30,4,2020-09-01,0.05,31,22
1315853,Downtown One-Bed Apt w/Balcony! Brooks Tower 4G,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,54,30,2,2021-01-22,0.03,31,24
1320470,Downtown living! Brooks Tower 4H,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,78,30,7,2021-01-01,0.07,31,117
1327856,Two-Story Open Condo with GREAT Outdoor Rooftop!,7206373,Leila And Alex,,Capitol Hill,39.73484,-104.98193,Entire home/apt,125,2,148,2021-02-23,1.60,1,0
1339305,Furnished Downtown Denver One-Bed! Brooks Tower 5H,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,65,30,4,2020-12-04,0.06,31,60
1339519,Spacious One Bedroom w/Balcony: Brooks Tower 4A,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,56,30,5,2021-03-20,0.05,31,75
1339536,Downtown Apt w/Private Balcony! Brooks Tower 6N,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,65,30,3,2017-07-10,0.05,31,117
1339557,Fully furnished - Urban Living - Brooks Tower 6D,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,68,30,6,2019-06-14,0.06,31,0
1363517,Gem in the Highlands,7400665,Jessi,,Highland,39.76497,-105.02244,Entire home/apt,92,1,88,2021-03-09,0.94,1,13
1402409,Spacious 1928 Bungalow near Sloan's Lake.,1382900,Pamela,,West Colfax,39.73995,-105.04053,Entire home/apt,240,3,103,2020-10-25,1.13,1,98
1454673,2 Bdrm Suite in Victorian (Denver Botanic Gardens),4150751,Pamela,,Congress Park,39.73424,-104.95933,Private room,102,1,133,2020-09-08,1.84,3,0
1529804,Bright & Cosy Studio Near Shops and Restaurants,8157870,Rachel,,Berkeley,39.77863,-105.02618,Entire home/apt,70,1,175,2021-03-23,3.27,1,64
1581384,West Highlands Sweet Retreat!,8410190,Deanna,,West Highland,39.76779,-105.05005,Entire home/apt,121,30,71,2021-03-06,0.80,6,144
1583103,W. Wash Park Artist Bungalow,8428229,Christina,,Speer,39.72088,-104.98371,Entire home/apt,108,30,25,2021-02-20,0.81,3,53
1622963,Curated & Comfy Home in Lohi/Highlands,8630750,Tanya,,Highland,39.76459,-105.01708,Entire home/apt,129,2,124,2021-03-21,1.45,1,5
